Gabpa	Smyd5	0.8717011493765998
Topors	Cdkn2d	0.8562573652018591
Egr3	S100a13	0.8106592838977351
Stat2	Gbp4	0.809496924981761
Fos	Rpa2	0.8030081007367814
Irf4	Chchd7	0.792755031382445
E2f1	Dtl	0.7893909507752396
Elf1	Lrrc59	0.7860588779931057
Cic	Capg	0.7847692786204578
Irf4	Clec2i	0.7787395961221061
Foxo1	Sepp1	0.7764823585312041
E2f1	Exo1	0.7747373071037598
Nr1d2	Stab1	0.7735282074216326
Nr1d2	Il1r1	0.7709073380821612
Bhlhe40	Cd86	0.7684137578727824
E2f1	Rfwd3	0.7649880686035566
Cebpz	Tnrc6a	0.7637693804052471
Hif1a	Ero1l	0.7619154092344117
Egr3	Clybl	0.7587717128289299
Irf4	Cox17	0.7569334319809107
Hif1a	Bnip3	0.75634730462327
Hif1a	Egln1	0.7551391478977381
Foxo1	Ccng2	0.7539560007153303
Bhlhe40	Znrf1	0.7537117730084132
Hif1a	Pgm2	0.7537064756456426
Hif1a	H2-Ab1	0.7494817093837822
Egr3	Ralb	0.748927616811116
Bhlhe40	Dst	0.7450258369488029
Klf4	Cdc25b	0.7440170172517965
Cic	Emp1	0.742346366389973
Fli1	Nudt8	0.7421043675056639
Bhlhe40	Skil	0.7419013185493071
Hif1a	Slc2a3	0.7393223717941918
Gabpa	Gpatch4	0.738536883660428
Arid2	Vdac1	0.7375697475096015
Egr1	Dctpp1	0.7375127691360602
Bhlhe40	Trappc10	0.7375119197716411
Cc2d1a	Adarb1	0.7319468997830654
Bhlhe40	Bmp2k	0.7289288839898942
Atf6b	Thap4	0.728438220087552
Stat2	Ifih1	0.7278471561618771
Bhlhe40	Ikzf4	0.7275650525633368
Hif1a	Slc2a1	0.7274404342973546
Klf4	Anxa4	0.726929395973245
Irf8	Ramp3	0.7239285291244979
Ikzf4	Abcb1b	0.7225686225771655
Hif1a	Jmjd6	0.7193281641257849
Nr1d2	Wdfy2	0.7181135086656263
Cux1	Tal2	0.7163324589576068
Cdc5l	Lpin2	0.7152337653587006
Zfp574	Ncdn	0.7130414124543849
Bhlhe40	Traf6	0.7126430168962985
Stat3	Tnip2	0.7109933959042749
Ncoa3	Ifngr2	0.7085126790278966
E2f1	Anln	0.708272957507524
Batf	Arhgef3	0.7073001438603461
Eea1	Slc29a3	0.7065888307218036
Fosl2	Igf2r	0.7041812998628192
